# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
8041        -12676173.7439 1.77791751e+03  1.40206641e+01       162322590.657  1.00282701e+06  7.90829757e+03       -1.96173e+11   -0.078092480489  4.824288625941e-04
4020        -12676161.8504 2.00791998e+03  2.23961002e+01       162322727.889  1.00295713e+06  1.11868643e+04       -6.67299e+10   -0.078092341197  4.825723309914e-04
2010        -12676161.8504 2.28768376e+03  3.60903441e+01       162322727.889  1.00298675e+06  1.58230510e+04       +6.75209e+10   -0.078092341197  4.829419565679e-04
1005        -12676161.8504 2.55042078e+03  5.69154251e+01       162322727.889  1.00296708e+06  2.23823057e+04       -1.63593e+09   -0.078092341197  4.827662701148e-04
502         -12676234.8354 2.73205736e+03  8.63089738e+01       162323771.204  1.00380511e+06  3.17114092e+04       +2.49490e+10   -0.078092288895  4.835182078730e-04
251         -12676234.8354 2.95865634e+03  1.32315134e+02       162323771.204  1.00406576e+06  4.49031859e+04       -3.23571e+09   -0.078092288895  4.833103736691e-04
125         -12676201.7746 3.08367133e+03  1.95813325e+02       162327460.901  1.00886802e+06  6.40631836e+04       -2.06332e+10   -0.078090310193  4.846960808554e-04
62          -12675908.2028 3.26957227e+03  2.96013165e+02       162334749.173  1.01913953e+06  9.22685576e+04       -4.40878e+10   -0.078084995772  4.863186386892e-04
31          -12675908.2028 3.32220223e+03  4.28894464e+02       162334749.173  1.01868559e+06  1.31511745e+05       -1.37254e+10   -0.078084995772  4.877449888850e-04
15          -12674611.8641 3.36239252e+03  6.35432459e+02       162366556.821  1.05390747e+06  1.99169791e+05       +1.54976e+09   -0.078061714877  5.077178498003e-04
7           -12676401.3405 2.78058033e+03  8.02684401e+02       162450913.924  1.12940519e+06  3.26031194e+05       -1.16339e+10   -0.078032194676  5.336413091783e-04
3           -12676472.7679 3.83231057e+03  1.91615528e+03       162631323.480  1.31924273e+06  6.59621367e+05       -9.77778e+09   -0.077946071499  6.173594627363e-04
