# of blocks mean (X_1)     std.err. (X_1)  std.err.err. (X_1)  mean (X_2)     std.err. (X_2)  std.err.err. (X_2)  cov(X_1,X_2)   mean (X_1/X_2)   std.err. (X_1/X_2)
5334        -12364787.9652 3.26448141e+03  3.16091931e+01       209680134.418  1.94794430e+06  1.88614790e+04       -3.69079e+11   -0.058969763633  5.478853778140e-04
2667        -12364787.9652 3.61811684e+03  4.95492993e+01       209680134.418  1.94796147e+06  2.66768958e+04       -2.03120e+11   -0.058969763633  5.479236718175e-04
1333        -12364764.2192 4.03876823e+03  7.82495450e+01       209680748.927  1.94867494e+06  3.77548101e+04       -1.65949e+11   -0.058969477563  5.480685863120e-04
666         -12364944.6162 4.29360168e+03  1.17732382e+02       209681823.736  1.95027936e+06  5.34774886e+04       -1.19186e+11   -0.058970035628  5.484329871101e-04
333         -12364944.6162 4.53345583e+03  1.75932206e+02       209681823.736  1.95014932e+06  7.56804710e+04       -1.62619e+11   -0.058970035628  5.476831662567e-04
166         -12364530.7856 4.45107252e+03  2.45023478e+02       209687886.324  1.95543579e+06  1.07643197e+05       -1.09446e+11   -0.058966357105  5.486887942792e-04
83          -12364530.7856 4.39983598e+03  3.43569468e+02       209687886.324  1.95661745e+06  1.52786154e+05       -3.47614e+10   -0.058966357105  5.495995846785e-04
41          -12364534.7322 4.41487701e+03  4.93598255e+02       209712663.117  1.97981012e+06  2.21349501e+05       -4.82734e+10   -0.058959409262  5.541682344556e-04
20          -12365447.4212 4.78508166e+03  7.76242748e+02       209764776.128  2.03142719e+06  3.29541005e+05       -8.02519e+09   -0.058949112665  5.703954007650e-04
10          -12365447.4212 5.25768631e+03  1.23924855e+03       209764776.128  2.02611424e+06  4.77559706e+05       +6.72282e+09   -0.058949112665  5.715179388571e-04
5           -12365447.4212 7.12248619e+03  2.51817914e+03       209764776.128  2.02954293e+06  7.17551786e+05       -1.87171e+10   -0.058949112665  5.625158216415e-04
2           -12367897.6912 1.89233833e+03  1.33808527e+03       210260381.523  2.54288422e+06  1.79809068e+06       -9.62399e+09   -0.058821817033  7.023897280075e-04
